segment_id,source_run,flight_name,icao24,split
step1_raw_2023-08-10_to_2023-09-10/20230810_4ba959_073209_092245,step1_raw_2023-08-10_to_2023-09-10,20230810_4ba959_073209_092245,4ba959,test
step1_raw_2023-08-10_to_2023-09-10/20230811_7380c5_084005_094925,step1_raw_2023-08-10_to_2023-09-10,20230811_7380c5_084005_094925,7380c5,train
step1_raw_2023-08-10_to_2023-09-10/20230811_76cce1_093532_104531,step1_raw_2023-08-10_to_2023-09-10,20230811_76cce1_093532_104531,76cce1,val
step1_raw_2023-08-10_to_2023-09-10/20230811_89617a_100406_110809,step1_raw_2023-08-10_to_2023-09-10,20230811_89617a_100406_110809,89617a,train
step1_raw_2023-08-10_to_2023-09-10/20230812_06a12f_091555_104814,step1_raw_2023-08-10_to_2023-09-10,20230812_06a12f_091555_104814,06a12f,train
step1_raw_2023-08-10_to_2023-09-10/20230813_06a123_090843_103157,step1_raw_2023-08-10_to_2023-09-10,20230813_06a123_090843_103157,06a123,train
step1_raw_2023-08-10_to_2023-09-10/20230813_06a1be_090239_102345,step1_raw_2023-08-10_to_2023-09-10,20230813_06a1be_090239_102345,06a1be,train
step1_raw_2023-08-10_to_2023-09-10/20230813_7380c7_105912_120904,step1_raw_2023-08-10_to_2023-09-10,20230813_7380c7_105912_120904,7380c7,train
step1_raw_2023-08-10_to_2023-09-10/20230813_738101_064546_074907,step1_raw_2023-08-10_to_2023-09-10,20230813_738101_064546_074907,738101,test
step1_raw_2023-08-10_to_2023-09-10/20230813_8963e5_111404_121848,step1_raw_2023-08-10_to_2023-09-10,20230813_8963e5_111404_121848,8963e5,train
step1_raw_2023-08-10_to_2023-09-10/20230814_06a12c_094215_110529,step1_raw_2023-08-10_to_2023-09-10,20230814_06a12c_094215_110529,06a12c,train
step1_raw_2023-08-10_to_2023-09-10/20230814_7380c1_090308_101547,step1_raw_2023-08-10_to_2023-09-10,20230814_7380c1_090308_101547,7380c1,val
step1_raw_2023-08-10_to_2023-09-10/20230814_7380c6_072020_083540,step1_raw_2023-08-10_to_2023-09-10,20230814_7380c6_072020_083540,7380c6,train
step1_raw_2023-08-10_to_2023-09-10/20230814_8964b1_105502_120533,step1_raw_2023-08-10_to_2023-09-10,20230814_8964b1_105502_120533,8964b1,train
step1_raw_2023-08-10_to_2023-09-10/20230814_a05669_100858_112119,step1_raw_2023-08-10_to_2023-09-10,20230814_a05669_100858_112119,a05669,train
step1_raw_2023-08-10_to_2023-09-10/20230815_06a121_090134_103002,step1_raw_2023-08-10_to_2023-09-10,20230815_06a121_090134_103002,06a121,val
step1_raw_2023-08-10_to_2023-09-10/20230816_06a129_081901_092822,step1_raw_2023-08-10_to_2023-09-10,20230816_06a129_081901_092822,06a129,test
step1_raw_2023-08-10_to_2023-09-10/20230816_4bb0e9_092604_103734,step1_raw_2023-08-10_to_2023-09-10,20230816_4bb0e9_092604_103734,4bb0e9,val
step1_raw_2023-08-10_to_2023-09-10/20230816_7380c1_065449_081655,step1_raw_2023-08-10_to_2023-09-10,20230816_7380c1_065449_081655,7380c1,val
step1_raw_2023-08-10_to_2023-09-10/20230816_76cce1_100344_111304,step1_raw_2023-08-10_to_2023-09-10,20230816_76cce1_100344_111304,76cce1,val
step1_raw_2023-08-10_to_2023-09-10/20230816_8964e1_095807_112049,step1_raw_2023-08-10_to_2023-09-10,20230816_8964e1_095807_112049,8964e1,train
step1_raw_2023-08-10_to_2023-09-10/20230817_4bb0e7_085030_095618,step1_raw_2023-08-10_to_2023-09-10,20230817_4bb0e7_085030_095618,4bb0e7,train
step1_raw_2023-08-10_to_2023-09-10/20230817_738103_093737_104657,step1_raw_2023-08-10_to_2023-09-10,20230817_738103_093737_104657,738103,train
step1_raw_2023-08-10_to_2023-09-10/20230818_738103_110839_122527,step1_raw_2023-08-10_to_2023-09-10,20230818_738103_110839_122527,738103,train
step1_raw_2023-08-10_to_2023-09-10/20230818_76cce1_092944_103905,step1_raw_2023-08-10_to_2023-09-10,20230818_76cce1_092944_103905,76cce1,val
step1_raw_2023-08-10_to_2023-09-10/20230819_06a0e5_092117_102135,step1_raw_2023-08-10_to_2023-09-10,20230819_06a0e5_092117_102135,06a0e5,train
step1_raw_2023-08-10_to_2023-09-10/20230819_06a12f_093027_104717,step1_raw_2023-08-10_to_2023-09-10,20230819_06a12f_093027_104717,06a12f,train
step1_raw_2023-08-10_to_2023-09-10/20230820_7380c1_103749_114553,step1_raw_2023-08-10_to_2023-09-10,20230820_7380c1_103749_114553,7380c1,val
step1_raw_2023-08-10_to_2023-09-10/20230820_7380c3_104523_120835,step1_raw_2023-08-10_to_2023-09-10,20230820_7380c3_104523_120835,7380c3,train
step1_raw_2023-08-10_to_2023-09-10/20230821_a0a522_103706_120017,step1_raw_2023-08-10_to_2023-09-10,20230821_a0a522_103706_120017,a0a522,train
step1_raw_2023-08-10_to_2023-09-10/20230822_06a12b_082931_093851,step1_raw_2023-08-10_to_2023-09-10,20230822_06a12b_082931_093851,06a12b,train
step1_raw_2023-08-10_to_2023-09-10/20230822_7380c9_105732_120652,step1_raw_2023-08-10_to_2023-09-10,20230822_7380c9_105732_120652,7380c9,train
step1_raw_2023-08-10_to_2023-09-10/20230822_76cce1_090539_102530,step1_raw_2023-08-10_to_2023-09-10,20230822_76cce1_090539_102530,76cce1,val
step1_raw_2023-08-10_to_2023-09-10/20230824_0101db_055542_071042,step1_raw_2023-08-10_to_2023-09-10,20230824_0101db_055542_071042,0101db,train
step1_raw_2023-08-10_to_2023-09-10/20230824_7380c2_074828_090319,step1_raw_2023-08-10_to_2023-09-10,20230824_7380c2_074828_090319,7380c2,test
step1_raw_2023-08-10_to_2023-09-10/20230824_7380cb_071248_082715,step1_raw_2023-08-10_to_2023-09-10,20230824_7380cb_071248_082715,7380cb,train
step1_raw_2023-08-10_to_2023-09-10/20230825_4bb0ee_095742_110704,step1_raw_2023-08-10_to_2023-09-10,20230825_4bb0ee_095742_110704,4bb0ee,train
step1_raw_2023-08-10_to_2023-09-10/20230825_738103_070351_081757,step1_raw_2023-08-10_to_2023-09-10,20230825_738103_070351_081757,738103,train
step1_raw_2023-08-10_to_2023-09-10/20230825_76cce4_093634_104554,step1_raw_2023-08-10_to_2023-09-10,20230825_76cce4_093634_104554,76cce4,test
step1_raw_2023-08-10_to_2023-09-10/20230826_06a0f4_092701_105014,step1_raw_2023-08-10_to_2023-09-10,20230826_06a0f4_092701_105014,06a0f4,test
step1_raw_2023-08-10_to_2023-09-10/20230826_06a1c0_083927_095136,step1_raw_2023-08-10_to_2023-09-10,20230826_06a1c0_083927_095136,06a1c0,train
step1_raw_2023-08-10_to_2023-09-10/20230826_89644c_093816_104522,step1_raw_2023-08-10_to_2023-09-10,20230826_89644c_093816_104522,89644c,train
step1_raw_2023-08-10_to_2023-09-10/20230826_aa9801_062725_083455,step1_raw_2023-08-10_to_2023-09-10,20230826_aa9801_062725_083455,aa9801,train
step1_raw_2023-08-10_to_2023-09-10/20230827_7380c2_070704_083342,step1_raw_2023-08-10_to_2023-09-10,20230827_7380c2_070704_083342,7380c2,test
step1_raw_2023-08-10_to_2023-09-10/20230827_c0172e_072810_083134,step1_raw_2023-08-10_to_2023-09-10,20230827_c0172e_072810_083134,c0172e,test
step1_raw_2023-08-10_to_2023-09-10/20230828_06a11f_084321_102027,step1_raw_2023-08-10_to_2023-09-10,20230828_06a11f_084321_102027,06a11f,train
step1_raw_2023-08-10_to_2023-09-10/20230828_740822_091023_101305,step1_raw_2023-08-10_to_2023-09-10,20230828_740822_091023_101305,740822,val
step1_raw_2023-08-10_to_2023-09-10/20230828_a0a54d_095507_110427,step1_raw_2023-08-10_to_2023-09-10,20230828_a0a54d_095507_110427,a0a54d,test
step1_raw_2023-08-10_to_2023-09-10/20230829_06a1c0_085427_100659,step1_raw_2023-08-10_to_2023-09-10,20230829_06a1c0_085427_100659,06a1c0,train
step1_raw_2023-08-10_to_2023-09-10/20230829_8964b2_090515_110459,step1_raw_2023-08-10_to_2023-09-10,20230829_8964b2_090515_110459,8964b2,train
step1_raw_2023-08-10_to_2023-09-10/20230829_a748bc_075948_093654,step1_raw_2023-08-10_to_2023-09-10,20230829_a748bc_075948_093654,a748bc,train
step1_raw_2023-08-10_to_2023-09-10/20230830_4ba9fa_084356_100539,step1_raw_2023-08-10_to_2023-09-10,20230830_4ba9fa_084356_100539,4ba9fa,train
step1_raw_2023-08-10_to_2023-09-10/20230830_7380c4_062106_074953,step1_raw_2023-08-10_to_2023-09-10,20230830_7380c4_062106_074953,7380c4,val
step1_raw_2023-08-10_to_2023-09-10/20230830_a05629_093212_110040,step1_raw_2023-08-10_to_2023-09-10,20230830_a05629_093212_110040,a05629,test
step1_raw_2023-08-10_to_2023-09-10/20230902_4bb0e9_101502_114822,step1_raw_2023-08-10_to_2023-09-10,20230902_4bb0e9_101502_114822,4bb0e9,val
step1_raw_2023-08-10_to_2023-09-10/20230903_4bb148_062925_074437,step1_raw_2023-08-10_to_2023-09-10,20230903_4bb148_062925_074437,4bb148,train
