segment_id,processing_day,icao24,segment_start_time,segment_end_time,gap_duration_minutes,adsc_point_count,segment_callsign,flight_callsign,flight_start_time,flight_end_time,estdepartureairport,estarrivalairport,is_valid,reasons,before_count,during_count,after_count,before_boundary_speed_kts,after_boundary_speed_kts,max_internal_speed_kts,median_internal_speed_kts,artifact_dir,adsc_path,adsb_before_path,adsb_after_path,stitched_minimal_path,metadata_path
20240611_aa92fa_101447_105624,2024-06-11,aa92fa,2024-06-11 10:14:47,2024-06-11 10:56:24,41.61666666666667,3,,UAL163,2024-06-11 01:31:45,2024-06-11 15:26:06,OMDB,KEWR,True,[],303,0,6130,483.54739802013034,447.6050160886141,486.06233878237407,485.44978346748604,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_aa92fa_101447_105624,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_aa92fa_101447_105624/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_aa92fa_101447_105624/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_aa92fa_101447_105624/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_aa92fa_101447_105624/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_aa92fa_101447_105624/metadata.json
20240611_39d2a8_120757_125422,2024-06-11,39d2a8,2024-06-11 12:07:57,2024-06-11 12:54:22,46.416666666666664,4,,AFR2X,2024-06-11 09:49:49,2024-06-11 17:04:15,LFPG,KJFK,True,[],1233,0,6177,468.39106194191595,463.18975438439486,474.1954560113437,474.06556708606234,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_39d2a8_120757_125422,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_39d2a8_120757_125422/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_39d2a8_120757_125422/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_39d2a8_120757_125422/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_39d2a8_120757_125422/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_39d2a8_120757_125422/metadata.json
20240611_47b121_121055_131239,2024-06-11,47b121,2024-06-11 12:10:55,2024-06-11 13:12:39,61.733333333333334,3,,NBT50K,2024-06-11 07:56:57,2024-06-11 17:41:38,,KJFK,True,[],2462,0,6140,458.2710685953901,461.9869531645931,468.62857353513965,464.52920458737003,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_47b121_121055_131239,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_47b121_121055_131239/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_47b121_121055_131239/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_47b121_121055_131239/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_47b121_121055_131239/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_47b121_121055_131239/metadata.json
20240611_abfdd1_130222_134710,2024-06-11,abfdd1,2024-06-11 13:02:22,2024-06-11 13:47:10,44.8,2,,AAL221,2024-06-11 11:16:31,2024-06-11 20:26:23,EHAM,KDFW,True,[],2411,0,11328,461.7428725859729,468.5727116619834,473.1421101850941,473.1421101850941,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_abfdd1_130222_134710,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_abfdd1_130222_134710/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_abfdd1_130222_134710/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_abfdd1_130222_134710/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_abfdd1_130222_134710/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_abfdd1_130222_134710/metadata.json
20240611_780abb_132913_171700,2024-06-11,780abb,2024-06-11 13:29:13,2024-06-11 17:17:00,227.78333333333333,7,,CPA748,2024-06-11 12:28:02,2024-06-12 01:09:00,FAOR,VHHH,True,[],651,0,361,511.5392412501386,445.2614321372779,539.9650640650549,512.8568609719966,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_780abb_132913_171700,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_780abb_132913_171700/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_780abb_132913_171700/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_780abb_132913_171700/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_780abb_132913_171700/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_780abb_132913_171700/metadata.json
20240611_400771_133405_142946,2024-06-11,400771,2024-06-11 13:34:05,2024-06-11 14:29:46,55.68333333333333,2,,BAW2239,2024-06-11 12:17:21,2024-06-11 20:12:04,EGKK,,True,[],2168,0,2074,482.57074010196635,498.9766888061871,459.72794084042187,459.72794084042187,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_400771_133405_142946,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_400771_133405_142946/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_400771_133405_142946/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_400771_133405_142946/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_400771_133405_142946/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_400771_133405_142946/metadata.json
20240611_aabf80_134600_142737,2024-06-11,aabf80,2024-06-11 13:46:00,2024-06-11 14:27:37,41.61666666666667,3,,AAL731,2024-06-11 11:42:40,2024-06-11 19:40:42,EGLL,KCLT,True,[],877,0,9026,462.9565516024619,445.5902702394733,441.71079830887714,437.24479257877636,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_aabf80_134600_142737,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_aabf80_134600_142737/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_aabf80_134600_142737/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_aabf80_134600_142737/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_aabf80_134600_142737/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_aabf80_134600_142737/metadata.json
20240611_aa944a_135649_142433,2024-06-11,aa944a,2024-06-11 13:56:49,2024-06-11 14:24:33,27.733333333333334,3,,AAL173,2024-06-11 11:56:33,2024-06-11 19:49:28,EGLL,KRDU,True,[],805,0,8760,452.20591620017507,444.52611109111876,465.4321937380091,461.58110160904687,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_aa944a_135649_142433,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_aa944a_135649_142433/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_aa944a_135649_142433/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_aa944a_135649_142433/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_aa944a_135649_142433/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_aa944a_135649_142433/metadata.json
20240611_407512_141148_153852,2024-06-11,407512,2024-06-11 14:11:48,2024-06-11 15:38:52,87.06666666666666,3,,TOM048,2024-06-11 12:58:53,2024-06-11 22:43:52,EGKK,MMUN,True,[],2855,0,1876,489.0391542317246,466.3915142849391,501.9187359751234,487.1889225577493,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_407512_141148_153852,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_407512_141148_153852/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_407512_141148_153852/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_407512_141148_153852/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_407512_141148_153852/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_407512_141148_153852/metadata.json
20240611_4b1884_141850_145421,2024-06-11,4b1884,2024-06-11 14:18:50,2024-06-11 14:54:21,35.516666666666666,3,,SWR16F,2024-06-11 11:03:44,2024-06-11 19:20:34,LSZH,KJFK,True,[],788,0,6049,444.76929480959274,436.4608239476098,437.0469869050935,435.67407610481064,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_4b1884_141850_145421,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_4b1884_141850_145421/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_4b1884_141850_145421/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_4b1884_141850_145421/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_4b1884_141850_145421/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20240611_20240612/flights/20240611_4b1884_141850_145421/metadata.json
