segment_id,processing_day,icao24,segment_start_time,segment_end_time,gap_duration_minutes,adsc_point_count,segment_callsign,flight_callsign,flight_start_time,flight_end_time,estdepartureairport,estarrivalairport,is_valid,reasons,before_count,during_count,after_count,before_boundary_speed_kts,after_boundary_speed_kts,max_internal_speed_kts,median_internal_speed_kts,artifact_dir,adsc_path,adsb_before_path,adsb_after_path,stitched_minimal_path,metadata_path
20250601_a1cac9_061353_101335,2025-06-01,a1cac9,2025-06-01 06:13:53,2025-06-01 10:13:35,239.7,21,,UAL163,2025-06-01 01:20:33,2025-06-01 15:18:13,OMDB,KEWR,True,[],9856,0,1900,598.6122514192854,435.2998830523535,472.55385441991547,454.12788105549953,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250601_a1cac9_061353_101335,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250601_a1cac9_061353_101335/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250601_a1cac9_061353_101335/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250601_a1cac9_061353_101335/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250601_a1cac9_061353_101335/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250601_a1cac9_061353_101335/metadata.json
20250601_4007f6_110605_145151,2025-06-01,4007f6,2025-06-01 11:06:05,2025-06-01 14:51:51,225.76666666666668,37,,BAW53M,2025-06-01 12:37:33,2025-06-02 00:37:58,EGLL,MBPV,True,[],4043,0,3666,542.8797653486037,470.7410304869294,508.52196428447127,494.791054347525,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250601_4007f6_110605_145151,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250601_4007f6_110605_145151/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250601_4007f6_110605_145151/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250601_4007f6_110605_145151/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250601_4007f6_110605_145151/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250601_4007f6_110605_145151/metadata.json
20250601_4007f1_151743_185429,2025-06-01,4007f1,2025-06-01 15:17:43,2025-06-01 18:54:29,216.76666666666668,23,,BAW2203,2025-06-01 16:13:35,2025-06-02 02:20:21,EGKK,MMUN,True,[],3860,0,3112,482.028347686567,445.05393320717076,502.79394816331444,477.1827324594891,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250601_4007f1_151743_185429,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250601_4007f1_151743_185429/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250601_4007f1_151743_185429/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250601_4007f1_151743_185429/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250601_4007f1_151743_185429/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250601_4007f1_151743_185429/metadata.json
20250602_400610_090157_120540,2025-06-02,400610,2025-06-02 09:01:57,2025-06-02 12:05:40,183.71666666666667,21,,BAW17R,2025-06-02 10:38:35,2025-06-02 17:54:06,EGLL,KJFK,True,[],3651,0,2696,594.5870224694283,416.5479671643457,466.718553046879,459.3989001817105,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250602_400610_090157_120540,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250602_400610_090157_120540/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250602_400610_090157_120540/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250602_400610_090157_120540/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250602_400610_090157_120540/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250602_400610_090157_120540/metadata.json
20250602_4d20f6_115256_154550,2025-06-02,4d20f6,2025-06-02 11:52:56,2025-06-02 15:45:50,232.9,20,,VJT861,2025-06-02 12:11:29,2025-06-02 22:35:25,LIML,05FL,True,[],8399,0,4476,539.4131792472182,433.9788716608314,502.2498770979354,458.8286951753155,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250602_4d20f6_115256_154550,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250602_4d20f6_115256_154550/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250602_4d20f6_115256_154550/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250602_4d20f6_115256_154550/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250602_4d20f6_115256_154550/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250602_4d20f6_115256_154550/metadata.json
20250603_4005bd_154825_193320,2025-06-03,4005bd,2025-06-03 15:48:25,2025-06-03 19:33:20,224.91666666666666,26,,BAW19N,2025-06-03 17:16:38,2025-06-04 00:16:06,EGLL,TXKF,True,[],4817,0,1870,726.23910846203,421.66794830705646,492.6132183317465,471.7382316019203,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250603_4005bd_154825_193320,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250603_4005bd_154825_193320/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250603_4005bd_154825_193320/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250603_4005bd_154825_193320/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250603_4005bd_154825_193320/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250603_4005bd_154825_193320/metadata.json
20250604_06a07a_071041_094108,2025-06-04,06a07a,2025-06-04 07:10:41,2025-06-04 09:41:08,150.45,28,,QTR703,2025-06-04 02:51:19,2025-06-04 15:30:20,,KJFK,True,[],9160,0,3185,529.250619072855,494.72758190819627,485.7380975440383,443.8310120501627,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250604_06a07a_071041_094108,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250604_06a07a_071041_094108/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250604_06a07a_071041_094108/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250604_06a07a_071041_094108/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250604_06a07a_071041_094108/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250604_06a07a_071041_094108/metadata.json
20250604_4005bb_122033_145048,2025-06-04,4005bb,2025-06-04 12:20:33,2025-06-04 14:50:48,150.25,19,,BAW185,2025-06-04 13:43:23,2025-06-04 20:43:23,EGLL,KEWR,True,[],5006,0,3625,594.2952825576945,479.3404049115465,463.5764683347399,439.0179105975719,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250604_4005bb_122033_145048,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250604_4005bb_122033_145048/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250604_4005bb_122033_145048/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250604_4005bb_122033_145048/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250604_4005bb_122033_145048/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250604_4005bb_122033_145048/metadata.json
20250604_4007f9_182529_205220,2025-06-04,4007f9,2025-06-04 18:25:29,2025-06-04 20:52:20,146.85,22,,BAW99,2025-06-04 19:54:25,2025-06-05 03:32:13,EGLL,CYYZ,True,[],5034,0,2486,750.1667313098666,456.28739883133204,467.01479195269786,456.246819443935,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250604_4007f9_182529_205220,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250604_4007f9_182529_205220/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250604_4007f9_182529_205220/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250604_4007f9_182529_205220/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250604_4007f9_182529_205220/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250604_4007f9_182529_205220/metadata.json
20250605_a22d7b_042519_055039,2025-06-05,a22d7b,2025-06-05 04:25:19,2025-06-05 05:50:39,85.33333333333333,49,,UAL83,2025-06-04 21:20:12,2025-06-05 13:18:29,VIDP,KEWR,True,[],9277,0,1517,547.5315139956751,401.31203156234574,471.80467093802486,460.35874780713834,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250605_a22d7b_042519_055039,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250605_a22d7b_042519_055039/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250605_a22d7b_042519_055039/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250605_a22d7b_042519_055039/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250605_a22d7b_042519_055039/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2025-06-01_to_2025-07-01/flights/20250605_a22d7b_042519_055039/metadata.json
