flight,step,gap_minutes,gc_gap_km,raw_adsb_dist_km,baseline_dist_km,kalman_dist_km,gru_dist_km,adsc_true_dist_km,baseline_gap_km,kalman_gap_km,gru_gap_km,baseline_dev_km,kalman_dev_km,gru_dev_km,raw_co2_kg,baseline_co2_kg,kalman_co2_kg,gru_co2_kg,adsc_co2_kg
20230810_4ba959_073209_092245,step1_raw_2023-08-10_to_2023-09-10,229.8,3450.8,1497.0,4947.8,4947.9,5190.0,4975.7,3421.0,3450.9,3430.9,0.7,8.2,200.1,28443.0,94009.0,94010.0,98610.0,94539.0
20230811_7380c5_084005_094925,step1_raw_2023-08-10_to_2023-09-10,245.8,4191.1,2621.1,6812.2,6853.2,7101.2,6858.2,4157.2,4232.1,4172.6,1.2,243.7,279.3,49801.0,129432.0,130211.0,134923.0,130306.0
20230811_76cce1_093532_104531,step1_raw_2023-08-10_to_2023-09-10,193.0,3266.0,3577.8,6843.8,6858.2,7116.2,6876.1,3232.3,3280.3,3241.9,0.7,115.7,251.4,67979.0,130032.0,130305.0,135207.0,130645.0
20230811_89617a_100406_110809,step1_raw_2023-08-10_to_2023-09-10,244.0,3669.3,2481.7,6151.0,6157.1,6246.4,6156.3,3639.4,3675.4,3623.3,0.8,88.3,103.3,47151.0,116869.0,116985.0,118681.0,116969.0
20230812_06a12f_091555_104814,step1_raw_2023-08-10_to_2023-09-10,210.8,3610.1,2717.7,6327.8,6333.1,6655.0,6390.9,3576.1,3615.4,3578.6,0.9,74.0,281.0,51636.0,120228.0,120329.0,126445.0,121427.0
20230813_06a123_090843_103157,step1_raw_2023-08-10_to_2023-09-10,214.8,3686.5,3376.3,7062.8,7062.9,7364.4,7111.2,3652.4,3686.5,3654.3,0.9,6.6,274.7,64151.0,134194.0,134195.0,139923.0,135113.0
20230813_06a1be_090239_102345,step1_raw_2023-08-10_to_2023-09-10,210.8,3632.8,3448.6,7081.5,7087.3,7515.6,7110.7,3598.6,3638.6,3630.2,0.9,78.5,350.8,65524.0,134548.0,134658.0,142797.0,135104.0
20230813_7380c7_105912_120904,step1_raw_2023-08-10_to_2023-09-10,205.2,3589.8,3293.5,6883.3,6888.7,7207.2,6894.3,3554.9,3595.2,3562.8,0.9,77.6,297.9,62577.0,130782.0,130885.0,136936.0,130992.0
20230813_738101_064546_074907,step1_raw_2023-08-10_to_2023-09-10,218.2,3270.7,906.0,4176.6,4183.3,4249.0,4178.8,3240.8,3277.4,3215.6,0.6,84.9,100.2,17213.0,79356.0,79483.0,80731.0,79396.0
20230813_8963e5_111404_121848,step1_raw_2023-08-10_to_2023-09-10,255.5,3950.0,2146.7,6096.7,6127.0,6257.7,6112.8,3919.3,3980.3,3930.7,0.9,202.1,145.5,40788.0,115838.0,116413.0,118896.0,116144.0
20230814_06a12c_094215_110529,step1_raw_2023-08-10_to_2023-09-10,212.5,3621.1,3609.2,7230.3,7246.2,7529.9,7239.1,3587.1,3637.0,3588.2,0.9,138.7,283.9,68575.0,137376.0,137678.0,143068.0,137543.0
20230814_7380c1_090308_101547,step1_raw_2023-08-10_to_2023-09-10,200.5,3470.7,3506.0,6976.7,6980.3,7245.6,6989.8,3436.2,3474.3,3437.3,0.8,63.0,260.3,66614.0,132558.0,132626.0,137667.0,132805.0
20230814_7380c6_072020_083540,step1_raw_2023-08-10_to_2023-09-10,212.0,3258.0,1711.2,4969.3,4991.9,5073.6,4977.4,3227.4,3280.7,3196.1,0.6,153.3,143.7,32513.0,94416.0,94847.0,96399.0,94571.0
20230814_8964b1_105502_120533,step1_raw_2023-08-10_to_2023-09-10,238.8,3733.7,2701.0,6434.6,6487.0,6524.0,6445.4,3702.5,3786.0,3650.3,0.8,259.6,154.0,51318.0,122258.0,123253.0,123956.0,122462.0
20230814_a05669_100858_112119,step1_raw_2023-08-10_to_2023-09-10,211.0,3636.9,3505.6,7142.5,7145.4,7501.3,7144.5,3602.6,3639.8,3610.3,0.9,57.4,288.3,66607.0,135708.0,135762.0,142525.0,135746.0
20230815_06a121_090134_103002,step1_raw_2023-08-10_to_2023-09-10,207.5,3630.5,2830.0,6460.6,6488.7,6620.5,6462.2,3595.8,3658.7,3552.3,0.9,171.0,218.8,53771.0,122751.0,123285.0,125790.0,122782.0
20230816_06a129_081901_092822,step1_raw_2023-08-10_to_2023-09-10,205.2,3582.1,2816.1,6398.2,6406.7,6612.8,6415.8,3547.3,3590.5,3530.1,0.8,97.4,233.5,53507.0,121566.0,121727.0,125644.0,121900.0
20230816_4bb0e9_092604_103734,step1_raw_2023-08-10_to_2023-09-10,252.8,4329.2,2662.0,6991.1,7011.9,7300.2,7034.3,4295.1,4349.9,4311.9,1.3,175.5,283.8,50578.0,132832.0,133226.0,138704.0,133651.0
20230816_7380c1_065449_081655,step1_raw_2023-08-10_to_2023-09-10,251.8,3747.5,809.3,4556.8,4661.7,4636.2,4563.8,3717.9,3852.5,3657.7,0.8,378.7,143.4,15376.0,86578.0,88573.0,88087.0,86713.0
20230816_76cce1_100344_111304,step1_raw_2023-08-10_to_2023-09-10,187.2,3212.0,3485.4,6697.4,6698.5,6934.1,6705.7,3177.8,3213.1,3170.3,0.7,31.9,228.0,66222.0,127250.0,127271.0,131748.0,127408.0
20230816_8964e1_095807_112049,step1_raw_2023-08-10_to_2023-09-10,265.5,3855.2,2545.0,6400.2,6460.7,6471.0,6415.6,3826.3,3915.7,3776.8,0.8,287.3,132.3,48355.0,121604.0,122754.0,122948.0,121897.0
20230817_4bb0e7_085030_095618,step1_raw_2023-08-10_to_2023-09-10,193.0,3372.3,2499.5,5871.8,5873.2,6096.2,5923.8,3337.5,3373.6,3319.9,0.7,36.1,229.0,47491.0,111565.0,111591.0,115828.0,112552.0
20230817_738103_093737_104657,step1_raw_2023-08-10_to_2023-09-10,191.8,3401.2,3362.9,6764.1,6767.5,6997.0,6804.7,3365.9,3404.6,3352.0,0.8,53.6,232.0,63895.0,128517.0,128582.0,132943.0,129290.0
20230818_738103_110839_122527,step1_raw_2023-08-10_to_2023-09-10,207.2,3655.4,3473.2,7128.6,7135.3,7673.2,7244.1,3620.2,3662.1,3666.5,0.9,87.4,373.5,65992.0,135444.0,135571.0,145791.0,137638.0
