flight,gap_minutes,adsc_waypoints,baseline_err_km,kalman_err_km,gru_err_km
20230810_4ba959_073209_092245,229.8,444,101.90744717762492,110.14157212908056,150.52183728149956
20230811_7380c5_084005_094925,245.8,278,229.58450986738126,61.230648634286354,134.15524021955056
20230811_76cce1_093532_104531,193.0,281,142.61219175634002,63.77446077736298,110.24349986050109
20230811_89617a_100406_110809,244.0,257,68.52698486821699,7.903312124328478,23.47387543052675
20230812_06a12f_091555_104814,210.8,370,226.414897472783,174.75171855573876,157.6171429298974
20230813_06a123_090843_103157,214.8,334,216.6716511032715,211.2089341712288,155.25887079759747
20230813_06a1be_090239_102345,210.8,326,144.37104766328653,101.3586800443637,93.62913228534696
20230813_7380c7_105912_120904,205.2,281,102.71874368479149,42.76566164068742,58.14136690943768
20230813_738101_064546_074907,218.2,254,33.572070127114706,38.02287352782392,29.109881730391876
20230813_8963e5_111404_121848,255.5,260,90.88568159332267,280.12062953757066,134.23437932456474
20230814_06a12c_094215_110529,212.5,333,74.5853806792669,3.6291623382408167,29.75040507097024
20230814_7380c1_090308_101547,200.5,292,89.35240658492205,48.92165984050462,64.0290241292011
20230814_7380c6_072020_083540,212.0,302,84.4472810557658,44.47037557926437,60.84160612793692
20230814_8964b1_105502_120533,238.8,283,30.70580297211712,233.0801299998131,35.466806130930244
20230814_a05669_100858_112119,211.0,291,11.77714471445618,46.5096091309503,69.16121318894164
20230815_06a121_090134_103002,207.5,355,24.0043641826638,130.25942653201272,101.23106115685003
20230816_06a129_081901_092822,205.2,278,103.81956849932068,27.871159769335723,43.965689275138516
20230816_4bb0e9_092604_103734,252.8,287,214.44192490032535,99.97622191922473,123.2441347348117
20230816_7380c1_065449_081655,251.8,329,86.40025269306106,437.0866759824744,81.86998347497862
20230816_76cce1_100344_111304,187.2,279,41.95070184547527,20.350149191209102,9.9394968138929
20230816_8964e1_095807_112049,265.5,332,30.204774413407204,253.40429771322084,39.37167186379913
20230817_4bb0e7_085030_095618,193.0,264,229.36816606491837,202.4127935678007,160.07951303477714
20230817_738103_093737_104657,191.8,278,163.47829291193,129.25812145316306,125.06659683658616
20230818_738103_110839_122527,207.2,308,350.59374619265117,285.28614264181994,276.5628170983603
20230818_76cce1_092944_103905,210.2,279,117.80373510654854,73.98746301111953,71.64753353762869
20230819_06a0e5_092117_102135,281.8,242,314.130056233716,313.00961277309096,187.98558181062972
20230819_06a12f_093027_104717,218.2,309,272.75666926292115,212.37308365372556,184.58000453051494
20230820_7380c1_103749_114553,218.2,273,105.83428725348921,65.77828792833347,53.65498992508307
20230820_7380c3_104523_120835,220.2,334,103.5158726918455,65.40157360101306,71.03179624374486
20230821_a0a522_103706_120017,196.8,334,93.65590223301533,63.482547724377824,76.50307386609585
20230822_06a12b_082931_093851,195.2,278,37.48220535975008,5.881689029014632,15.546975082300342
20230822_7380c9_105732_120652,195.5,278,31.64174135095252,6.697460056922967,11.139416168145662
20230822_76cce1_090539_102530,205.5,321,40.659337985855956,10.581766013513018,10.841135298104906
20230824_0101db_055542_071042,257.5,301,185.98582174209596,57.23030598197695,135.79391945582134
20230824_7380c2_074828_090319,209.2,301,25.521004846786564,24.20239560837022,37.57779824058455
20230824_7380cb_071248_082715,250.8,299,174.13225722146137,126.64195226353827,140.35177703835362
20230825_4bb0ee_095742_110704,211.0,279,77.32958533941256,39.074587359990204,54.08197354774655
20230825_738103_070351_081757,204.2,297,80.28387629175755,31.348622194732958,25.814557890885272
20230825_76cce4_093634_104554,199.8,278,62.4781656192787,35.3452521750614,26.896942695522533
20230826_06a0f4_092701_105014,206.8,333,159.4062627018401,121.38619786999907,164.2550223966229
20230826_06a1c0_083927_095136,223.8,290,198.20086292212906,189.63980302601314,223.60236047042122
20230826_89644c_093816_104522,198.8,269,37.57727857847875,11.16311278050951,37.53457791996238
20230826_aa9801_062725_083455,310.5,511,213.20871861180885,35.58926366953246,75.09677323679013
20230827_7380c2_070704_083342,292.2,347,319.2227062310337,115.08769544975198,146.3111814286554
20230827_c0172e_072810_083134,199.2,255,93.61205879421067,42.78541159259686,125.35977316064607
20230828_06a11f_084321_102027,214.0,389,26.369718161792736,42.68335287313694,25.278956002002854
20230828_740822_091023_101305,221.2,252,124.26823073776708,125.8973436792806,128.5366050202466
20230828_a0a54d_095507_110427,183.5,278,22.090227086119356,9.795510571808974,9.300083188111792
20230829_06a1c0_085427_100659,221.5,291,148.73703643534515,147.05477874944552,174.86691420096798
20230829_8964b2_090515_110459,270.5,479,127.73265546366316,82.502657980249,125.43199649504831
20230829_a748bc_075948_093654,224.2,389,28.70853929515986,18.208731137924072,12.005908729392754
20230830_4ba9fa_084356_100539,269.0,328,42.05321197649134,268.6401992884596,26.347683541138565
20230830_7380c4_062106_074953,243.0,356,61.891812457196785,22.21283417513108,50.07902196528232
20230830_a05629_093212_110040,215.0,355,212.54371474947428,92.05399804778845,172.33215496727755
20230902_4bb0e9_101502_114822,218.2,374,96.75559471161137,113.7700192221796,85.3363109682141
20230903_4bb148_062925_074437,240.2,302,175.53573970289037,111.2167652135387,138.43294312934333
20230903_738103_070622_083518,239.0,357,157.36740597878753,62.93190267765519,138.88748399750418
20230903_76cce7_095600_110521,179.2,278,74.52327978909484,36.64836372036379,88.70281646296604
20230903_89644c_105751_115858,213.5,245,38.03836126617638,13.633250453186921,28.669733121211348
20230903_896598_102320_113712,228.5,296,95.1393523385664,40.37022919340021,51.727194224201746
20230903_a7563a_065944_082257,205.8,334,18.463284815188445,28.866308595466514,53.75554261296503
20230906_4bb0ea_092535_103456,197.5,278,13.993775091110491,28.20187623416052,6.282455465091166
20230906_896453_095218_110535,238.0,294,179.15387241344084,194.51698756194844,178.20338177637785
20230907_06a0e6_085727_100654,204.5,279,8.936820900053116,15.348279679038646,18.95113585342856
20230907_7380c8_064903_080232,204.5,295,13.080072170744753,18.998296525365433,14.028720075663115
20230907_76cce3_092529_104841,196.0,334,15.548525884491566,2.4860744233139327,16.998780088714764
20230907_89659b_103849_120201,244.2,334,112.22635010883265,51.16896312175101,78.3228186491098
20230908_06a0f4_083213_095525,291.2,334,111.58817677439639,112.6433674029297,210.7578657517648
20231001_3c4b29_023128_034048,194.2,279,65.98922077241691,12.09365287225246,43.36128953501262
20231001_4007ed_031420_045447,206.2,403,109.71562759941956,21.642865448682816,81.61868511841055
20231001_4bb46e_012638_025451,213.5,354,156.96687152279435,126.00961495829435,124.58147781477214
20231001_4d0117_004918_015838,262.8,278,107.46664282361063,84.21167539226107,38.532409300814045
20231001_a748bc_040541_051203,203.0,267,67.93199798215028,14.778737872792806,40.92478537140064
20231001_c01a61_005121_023937,202.2,434,120.88918943090293,75.55772554568631,81.50608045587968
20231002_06a10d_055918_070929,194.2,281,73.82348293104343,27.842388229577992,49.15322680056153
20231002_39cf11_051323_062438,194.2,286,50.72398908438015,54.623720459536166,34.10444186549699
20231002_3c6571_020328_031248,185.8,279,71.04304208106508,25.522172959393806,45.25227661968586
20231002_4078dd_023640_034938,194.8,293,25.78745233167615,32.83902422378806,41.41330549290722
20231002_40797a_024254_035214,194.0,278,38.57723733727592,38.475976269138634,23.30502989515091
20231002_407f19_040849_051809,193.5,278,33.79106026930313,51.540090391285744,28.64889501554348
20231002_4bb193_063429_074128,233.0,269,110.12020786287054,46.09665231252143,83.14516892624006
20231002_76cce4_062322_073059,196.8,271,28.360120476838492,47.80695227005851,18.78622192835401
20231002_a05626_014613_030925,203.5,334,104.73003605313835,69.05691593975745,66.83916889539917
20231002_a0a54a_040013_050633,171.8,267,65.09586518364543,26.60482349941813,39.58561883716122
20231002_a11ba0_014218_025138,187.5,278,24.872111402743474,37.95250950034051,17.40011833414284
20231003_4078dd_024208_034547,181.8,256,52.320335607127056,43.21622121709627,37.7545265371103
20231003_407af1_040442_051144,185.0,269,75.72308881770275,33.970049775819085,53.100449733509315
20231003_407af2_060629_070847,184.5,251,69.26285939178341,34.591900123556584,48.64634262230823
20231003_407f19_040855_051530,184.0,268,67.88116478998181,43.24102299317449,42.80413899456355
20231003_407f2d_052956_064055,183.2,285,107.66890079525061,14.657023279802353,46.48774630249607
20231003_7380c1_035320_052243,219.0,358,178.45807101367683,83.4850366599122,155.7152194561067
20231003_7380c3_033308_045308,221.8,321,129.2885175476963,50.22356601561311,104.43565746920875
20231003_a05669_031923_045528,212.0,385,29.054158610724375,29.939703804575103,23.224927397040666
20231003_ab7613_035223_045647,186.0,259,77.06872178304756,20.9248070753973,40.81901714217234
20231003_ac3448_045831_060649,203.2,274,77.02762266115045,29.036259982498038,61.4473245926906
20231004_39cf06_020742_031428,186.2,268,125.01486049124212,103.80370824008243,113.5972602277639
20231004_39cf0b_025754_040716,183.8,279,159.6313764266169,97.80316048228546,141.64727613819946
20231004_40745e_025539_040718,266.0,288,35.46920451791689,60.11083198048046,84.09980203647196
20231004_40797c_054513_064514,188.5,241,154.92228698183203,127.42753251273041,138.3131605362655
